Stage,Channel,Amplitude,NrClipsWithSpikes,SOZ
N3,fl1,1.1851182490278825e-05,26,0
N3,fl2,1.1756995531086469e-05,26,0
N3,fl3,1.1950340006337025e-05,26,0
N3,fl4,1.16109722721167e-05,26,0
N3,ga1,7.541402748144683e-06,26,0
N3,ga2,1.5094312416512893e-05,26,0
N3,ga3,3.0640617211520145e-05,26,0
N3,ga4,6.095937959144244e-05,26,0
N3,ga5,4.941821123106742e-05,26,1
N3,ga6,4.0286079747756955e-05,26,1
N3,ga7,3.3448775598161924e-05,26,0
N3,ga8,1.8703890576491005e-05,26,0
N3,gb1,1.547057341002232e-05,26,0
N3,gb2,1.9490853854891653e-05,26,0
N3,gb3,2.8991002770829787e-05,26,0
N3,gb4,4.941844686465125e-05,26,1
N3,gb5,7.493953562783997e-05,26,1
N3,gb6,6.458085458225385e-05,26,1
N3,gb7,6.34146645289103e-05,26,0
N3,gb8,3.155159497492883e-05,26,1
N3,gc1,1.1695781520918968e-05,26,0
N3,gc2,2.1337857372766664e-05,26,0
N3,gc3,2.6949733248025664e-05,26,0
N3,gc4,3.564559836494145e-05,26,1
N3,gc5,5.071792804239811e-05,26,1
N3,gc6,3.778331015635589e-05,26,1
N3,gc7,3.1451433562930574e-05,26,0
N3,gc8,3.790727605178801e-05,26,1
N3,gd1,2.149374264733836e-05,26,0
N3,gd2,2.081283627727411e-05,26,0
N3,gd3,2.336396575128597e-05,26,0
N3,gd4,3.75775877620497e-05,26,0
N3,gd5,4.663439501507973e-05,26,1
N3,gd6,2.200118467863051e-05,26,1
N3,gd7,3.5508993285822204e-05,26,1
N3,gd8,2.991771143851492e-05,26,1
N3,ge1,1.5201260373491272e-05,26,0
N3,ge2,2.137397024022174e-05,26,0
N3,ge3,2.4014431378133847e-05,26,0
N3,ge4,2.633554237799104e-05,26,0
N3,ge5,2.1818245318138562e-05,26,0
N3,ge6,2.2245728753019923e-05,26,0
N3,ge7,2.677356336482343e-05,26,0
N3,ge8,3.1694316097443486e-05,26,0
N3,gf1,1.2198460712987662e-05,26,0
N3,gf2,1.9345816487610177e-05,26,0
N3,gf3,1.7841752801045216e-05,26,0
N3,gf4,2.3468627050870527e-05,26,0
N3,gf5,2.1305725782273457e-05,26,0
N3,gf6,5.6060025765269396e-05,26,0
N3,gf7,5.6173155997610926e-05,26,0
N3,gf8,1.754874082416554e-05,26,0
N3,gg1,8.97634297241537e-06,26,0
N3,gg2,1.0930601579112087e-05,26,0
N3,gg3,1.0767060139650726e-05,26,0
N3,gg4,1.4433868842830708e-05,26,0
N3,gg5,2.9285741107655592e-05,26,0
N3,gg6,3.976476715821395e-05,26,0
N3,gg7,3.598869252131504e-05,26,0
N3,gg8,2.1871118883096822e-05,26,0
N3,gh1,1.0363527844489125e-05,26,0
N3,gh2,9.267923812585474e-06,26,0
N3,gh3,9.552187997618901e-06,26,0
N3,gh4,1.1684504108438419e-05,26,0
N3,gh5,1.3965921403047979e-05,26,0
N3,gh6,1.6886937444986093e-05,26,0
N3,gh7,2.3108566293062064e-05,26,0
N3,gh8,2.3512089002989502e-05,26,0
N3,iha1,1.2631201161084938e-05,26,0
N3,iha2,2.2947814897574765e-05,26,1
N3,iha3,1.0074656695830734e-05,26,0
N3,iha4,1.4840596938014136e-05,26,0
N3,ihb1,1.5073545117661982e-05,26,1
N3,ihb2,1.3520318296888547e-05,26,0
N3,ihb3,1.6269258340066614e-05,26,0
N3,ihb4,1.367676278140621e-05,26,1
N3,ihc1,1.5096737409887595e-05,26,0
N3,ihc2,1.6951825125263902e-05,26,1
N3,ihc3,1.3985906453276884e-05,26,0
N3,ihc4,2.0669112561169388e-05,26,1
N3,ihd1,2.215507422933404e-05,26,0
N3,ihd2,1.8419754643426214e-05,26,0
N3,ihd3,1.2228969050025223e-05,26,0
N3,ihd4,8.058490368489771e-06,26,0
N3,m3,9.21027572649771e-06,26,0
N3,m4,6.8169452728587066e-06,26,0
N3,m5,9.754954154499094e-06,26,0
N3,m6,1.4723774492344946e-05,26,0
N3,m7,4.130152073695095e-05,26,0
N3,m8,7.268642909565891e-05,26,1
N2,fl1,1.0509544881045542e-05,33,0
N2,fl2,1.0827989275149224e-05,33,0
N2,fl3,1.0968154697630786e-05,33,0
N2,fl4,1.0191394596148111e-05,33,0
N2,ga1,7.172046800339837e-06,33,0
N2,ga2,1.49203886881276e-05,33,0
N2,ga3,2.888372921555303e-05,33,0
N2,ga4,6.597951150312733e-05,33,0
N2,ga5,4.952159434319912e-05,33,1
N2,ga6,4.218779356602872e-05,33,1
N2,ga7,3.281230088989151e-05,33,0
N2,ga8,1.6701932294315524e-05,33,0
N2,gb1,1.4386820298943107e-05,33,0
N2,gb2,1.944452249870958e-05,33,0
N2,gb3,3.075775243519481e-05,33,0
N2,gb4,5.0632545215362596e-05,33,1
N2,gb5,8.207071319441392e-05,33,1
N2,gb6,6.65925258164534e-05,33,1
N2,gb7,7.191059070350565e-05,33,0
N2,gb8,3.431597245084274e-05,33,1
N2,gc1,1.1904540305208645e-05,33,0
N2,gc2,2.0960978730239567e-05,33,0
N2,gc3,2.7194077753902723e-05,33,0
N2,gc4,3.672876501376364e-05,33,1
N2,gc5,5.508704195171987e-05,33,1
N2,gc6,3.8276345704041495e-05,33,1
N2,gc7,3.395902627066508e-05,33,0
N2,gc8,4.002939052420696e-05,33,1
N2,gd1,2.0902890831058508e-05,33,0
N2,gd2,1.9122418827477505e-05,33,0
N2,gd3,2.3492363167830428e-05,33,0
N2,gd4,4.0856196415472486e-05,33,0
N2,gd5,5.463865197926232e-05,33,1
N2,gd6,2.1268277213502272e-05,33,1
N2,gd7,4.3324282984194936e-05,33,1
N2,gd8,3.9363440842327516e-05,33,1
N2,ge1,1.4385367665756786e-05,33,0
N2,ge2,1.9616191126480463e-05,33,0
N2,ge3,2.4173696881034328e-05,33,0
N2,ge4,2.5981659572381582e-05,33,0
N2,ge5,2.039816181138497e-05,33,0
N2,ge6,2.272733555893318e-05,33,0
N2,ge7,3.133847990272085e-05,33,0
N2,ge8,3.689639081645122e-05,33,0
N2,gf1,1.1858481475426244e-05,33,0
N2,gf2,1.7267770517812043e-05,33,0
N2,gf3,1.545194817446174e-05,33,0
N2,gf4,2.1236093766684997e-05,33,0
N2,gf5,1.953276406023434e-05,33,0
N2,gf6,6.174689058645802e-05,33,0
N2,gf7,6.455008173903192e-05,33,0
N2,gf8,1.7259325223977996e-05,33,0
N2,gg1,8.231479163388617e-06,33,0
N2,gg2,9.89741585779958e-06,33,0
N2,gg3,8.994047507324172e-06,33,0
N2,gg4,1.1781118246917535e-05,33,0
N2,gg5,2.6192030553314364e-05,33,0
N2,gg6,3.8572697117685514e-05,33,0
N2,gg7,3.479215118981346e-05,33,0
N2,gg8,2.2064352369718135e-05,33,0
N2,gh1,8.039628900423794e-06,33,0
N2,gh2,8.145460806650539e-06,33,0
N2,gh3,8.274355483149906e-06,33,0
N2,gh4,1.0057639754752023e-05,33,0
N2,gh5,1.1620200391148434e-05,33,0
N2,gh6,1.4193629673930016e-05,33,0
N2,gh7,2.0135775683941127e-05,33,0
N2,gh8,1.9598967855692856e-05,33,0
N2,iha1,9.716913319799011e-06,33,0
N2,iha2,1.957294391715814e-05,33,1
N2,iha3,8.072044158455867e-06,33,0
N2,iha4,1.3205578949469611e-05,33,0
N2,ihb1,1.3957903332777487e-05,33,1
N2,ihb2,1.2325470084644741e-05,33,0
N2,ihb3,1.3642109879647713e-05,33,0
N2,ihb4,1.1791246506705149e-05,33,1
N2,ihc1,1.2482235797259827e-05,33,0
N2,ihc2,1.3322749815337726e-05,33,1
N2,ihc3,1.1987660681806016e-05,33,0
N2,ihc4,1.7980340207249573e-05,33,1
N2,ihd1,2.0736030997178927e-05,33,0
N2,ihd2,1.493309773029743e-05,33,0
N2,ihd3,9.337227459522255e-06,33,0
N2,ihd4,6.673980020508238e-06,33,0
N2,m3,8.917851651151664e-06,33,0
N2,m4,5.44430805613209e-06,33,0
N2,m5,7.759096964699365e-06,33,0
N2,m6,1.2515211869119999e-05,33,0
N2,m7,3.422051884016537e-05,33,0
N2,m8,5.761037633559284e-05,33,1
N1,fl1,1.9046181086445867e-05,35,0
N1,fl2,1.9181077403530208e-05,35,0
N1,fl3,1.839498611844553e-05,35,0
N1,fl4,1.7287083903287024e-05,35,0
N1,ga1,1.5899089368044748e-05,35,0
N1,ga2,2.3655500676358953e-05,35,0
N1,ga3,3.801620217288089e-05,35,0
N1,ga4,8.684222929227017e-05,35,0
N1,ga5,6.63926609644153e-05,35,1
N1,ga6,5.528238975464584e-05,35,1
N1,ga7,4.038322652672784e-05,35,0
N1,ga8,2.3314912173611158e-05,35,0
N1,gb1,2.375592528461045e-05,35,0
N1,gb2,3.057215485265295e-05,35,0
N1,gb3,4.4790357399295444e-05,35,0
N1,gb4,7.323393649086011e-05,35,1
N1,gb5,0.00011076562610929488,35,1
N1,gb6,7.916872461219062e-05,35,1
N1,gb7,7.951677040110427e-05,35,0
N1,gb8,4.3549876525961547e-05,35,1
N1,gc1,2.025342270869754e-05,35,0
N1,gc2,3.2472931361207514e-05,35,0
N1,gc3,3.4442297341358946e-05,35,0
N1,gc4,4.96248819454035e-05,35,1
N1,gc5,7.551415993717388e-05,35,1
N1,gc6,5.0375658863640876e-05,35,1
N1,gc7,4.480365906215151e-05,35,0
N1,gc8,5.7420999162771735e-05,35,1
N1,gd1,3.093221987952058e-05,35,0
N1,gd2,2.7348763830765287e-05,35,0
N1,gd3,3.375262785612154e-05,35,0
N1,gd4,5.2260388166042784e-05,35,0
N1,gd5,6.762025184198628e-05,35,1
N1,gd6,3.3622836374490204e-05,35,1
N1,gd7,6.737766506238e-05,35,1
N1,gd8,5.361275963060911e-05,35,1
N1,ge1,2.3557029555893013e-05,35,0
N1,ge2,2.767358877258979e-05,35,0
N1,ge3,3.2174756562484096e-05,35,0
N1,ge4,4.9232541849905635e-05,35,0
N1,ge5,3.179965325731442e-05,35,0
N1,ge6,3.477736739920644e-05,35,0
N1,ge7,4.243149695979897e-05,35,0
N1,ge8,4.8703058424862975e-05,35,0
N1,gf1,2.0469208360458546e-05,35,0
N1,gf2,2.5441556323654884e-05,35,0
N1,gf3,2.3197121645552045e-05,35,0
N1,gf4,3.298236029725307e-05,35,0
N1,gf5,3.0100139971777986e-05,35,0
N1,gf6,7.14527541335623e-05,35,0
N1,gf7,7.351861429217297e-05,35,0
N1,gf8,2.9539176118209554e-05,35,0
N1,gg1,1.6411990908846983e-05,35,0
N1,gg2,1.831258276642609e-05,35,0
N1,gg3,1.821318681536647e-05,35,0
N1,gg4,2.094317771239526e-05,35,0
N1,gg5,3.324501286717269e-05,35,0
N1,gg6,4.593679265455808e-05,35,0
N1,gg7,4.4186097165180395e-05,35,0
N1,gg8,3.083940063006673e-05,35,0
N1,gh1,1.7729914455072292e-05,35,0
N1,gh2,1.6546873719124557e-05,35,0
N1,gh3,1.655361160610433e-05,35,0
N1,gh4,1.9329008880905682e-05,35,0
N1,gh5,2.1103737353308078e-05,35,0
N1,gh6,2.4549922263065825e-05,35,0
N1,gh7,2.9500462884877447e-05,35,0
N1,gh8,2.934271484260486e-05,35,0
N1,iha1,1.959670399584779e-05,35,0
N1,iha2,3.153000937662933e-05,35,1
N1,iha3,1.5599544230802708e-05,35,0
N1,iha4,2.1796856937685023e-05,35,0
N1,ihb1,2.155871271836608e-05,35,1
N1,ihb2,1.8631878653530378e-05,35,0
N1,ihb3,2.0135169670381612e-05,35,0
N1,ihb4,1.8830808308691316e-05,35,1
N1,ihc1,1.9145748567509056e-05,35,0
N1,ihc2,2.0058419384475556e-05,35,1
N1,ihc3,2.1029026913044355e-05,35,0
N1,ihc4,2.4024410147865807e-05,35,1
N1,ihd1,3.000161205753603e-05,35,0
N1,ihd2,2.2038226041309532e-05,35,0
N1,ihd3,1.876150052486435e-05,35,0
N1,ihd4,1.4362315308717498e-05,35,0
N1,m3,1.6227334720670268e-05,35,0
N1,m4,1.3097557601795447e-05,35,0
N1,m5,1.5048403504968463e-05,35,0
N1,m6,1.8924289689347214e-05,35,0
N1,m7,3.627276705931035e-05,35,0
N1,m8,6.434969615260915e-05,35,1
REM,fl1,1.4722185295850452e-05,16,0
REM,fl2,1.430405300674607e-05,16,0
REM,fl3,1.3661514224346122e-05,16,0
REM,fl4,1.3554982152862537e-05,16,0
REM,ga1,1.076608336667136e-05,16,0
REM,ga2,2.2268269264201096e-05,16,0
REM,ga3,4.684562023492156e-05,16,0
REM,ga4,8.053192363832922e-05,16,0
REM,ga5,5.6278132686268133e-05,16,1
REM,ga6,4.604127250920779e-05,16,1
REM,ga7,4.1586801177561066e-05,16,0
REM,ga8,2.8626194797836607e-05,16,0
REM,gb1,1.9653841815899808e-05,16,0
REM,gb2,3.3010951249362995e-05,16,0
REM,gb3,5.141303157907636e-05,16,0
REM,gb4,6.696528730079128e-05,16,1
REM,gb5,8.32337072538158e-05,16,1
REM,gb6,6.669631245647268e-05,16,1
REM,gb7,9.484490009942218e-05,16,0
REM,gb8,5.9660174985526646e-05,16,1
REM,gc1,1.9840841364132183e-05,16,0
REM,gc2,3.341135323544431e-05,16,0
REM,gc3,4.4378250998310726e-05,16,0
REM,gc4,4.980639150791882e-05,16,1
REM,gc5,5.807815831004667e-05,16,1
REM,gc6,4.432570255065297e-05,16,1
REM,gc7,4.9997761630222367e-05,16,0
REM,gc8,6.403760725250102e-05,16,1
REM,gd1,3.3892128560807365e-05,16,0
REM,gd2,3.3154776289299005e-05,16,0
REM,gd3,3.3265012105574465e-05,16,0
REM,gd4,5.728080454786028e-05,16,0
REM,gd5,5.431094975633284e-05,16,1
REM,gd6,3.4273802526534e-05,16,1
REM,gd7,6.771610696184512e-05,16,1
REM,gd8,5.374361693122949e-05,16,1
REM,ge1,2.2988427272477813e-05,16,0
REM,ge2,2.9885534512483885e-05,16,0
REM,ge3,3.2441599712506824e-05,16,0
REM,ge4,3.8452709686242977e-05,16,0
REM,ge5,3.316430890846913e-05,16,0
REM,ge6,3.073538918834366e-05,16,0
REM,ge7,3.948347136861104e-05,16,0
REM,ge8,4.917659796183632e-05,16,0
REM,gf1,1.7426455394848613e-05,16,0
REM,gf2,2.4288034961142724e-05,16,0
REM,gf3,2.104737978575603e-05,16,0
REM,gf4,2.6018522252648212e-05,16,0
